 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     0.000000000     0.000000000      0.000000000     0.000000000
     3     0.000000000     0.000000000      0.000000000     0.000000000
     4     0.000000000     0.000000000      0.000000000     0.000000000
     5     0.000000000     0.000000000      0.000000000     0.000000000
     6     0.000000000     0.000000000      0.000000000     0.000000000
     7     0.000000000     0.000000000      0.000000000     0.000000000
     8     0.000000000     0.000000000      0.000000000     0.000000000
     9     0.000000000     0.000000000      0.000000000     0.000000000
    10     0.000000000     0.000000000      0.000000000     0.000000000
    11     0.000000000     0.000000000      0.000000000     0.000000000
    12     0.000000000     0.000000000      0.000000000     0.000000000
    13     0.000000000     0.000000000      0.000000000     0.000000000
    14     0.000000000     0.000000000      0.000000000     0.000000000
    15     0.000000000     0.000000000      0.000000000     0.000000000
    16     0.000000000     0.000000000      0.000000000     0.000000000
    17     0.000000000     0.000000000      0.000000000     0.000000000
    18     0.000000000     0.000000000      0.000000000     0.000000000
    19     0.000000000     0.000000000      0.000000000     0.000000000
    20     0.000000000     0.000000000      0.000000000     0.000000000
    21     0.000000000     0.000000000      0.000000000     0.000000000
    22   -12.515632902    -2.033930999      0.000000000     0.000000000
    23   -10.322347837    -1.967563750      0.000000000     0.000000000
    24    -8.826087878    -2.024110750      0.000000000     0.000000000
    25    -7.527109476    -2.092797442      0.000000000     0.000000000
    26    -6.334400003    -2.155728993      0.000000000     0.000000000
    27    -5.205866177    -2.209023794      0.000000000     0.000000000
    28    -4.119847655    -2.251433794      0.000000000     0.000000000
    29    -3.062812041    -2.282515760      0.000000000     0.000000000
    30    -2.025288838    -2.302058107      0.000000000     0.000000000
    31    -0.999946899    -2.309914473      0.000000000     0.000000000
    32     0.019407383    -2.305939842      0.000000000     0.000000000
    33     1.038451217    -2.289960854      0.000000000     0.000000000
    34     2.062814137    -2.261755166      0.000000000     0.000000000
    35     3.098532240    -2.221030723      0.000000000     0.000000000
    36     4.152617700    -2.167401215      0.000000000     0.000000000
    37     5.233941354    -2.100360866      0.000000000     0.000000000
    38     6.354869613    -2.019279074      0.000000000     0.000000000
    39     7.534670408    -1.923560223      0.000000000     0.000000000
    40     8.809239721    -1.813412902      0.000000000     0.000000000
    41    10.254832754    -1.696286712      0.000000000     0.000000000
    42    12.244293458    -1.637726475      0.000000000     0.000000000
    43   -24.105801304    -5.520863103      0.000000000     0.000000000
    44   -20.492733573    -5.407130361      0.000000000     0.000000000
    45   -17.559618361    -5.376654873      0.000000000     0.000000000
    46   -14.992797188    -5.415001450      0.000000000     0.000000000
    47   -12.622751107    -5.474478807      0.000000000     0.000000000
    48   -10.376810727    -5.535181250      0.000000000     0.000000000
    49    -8.213887327    -5.587817864      0.000000000     0.000000000
    50    -6.107971745    -5.627629485      0.000000000     0.000000000
    51    -4.040587207    -5.651974476      0.000000000     0.000000000
    52    -1.997331861    -5.659294849      0.000000000     0.000000000
    53     0.034010681    -5.648644353      0.000000000     0.000000000
    54     2.064655627    -5.619466979      0.000000000     0.000000000
    55     4.105718917    -5.571506582      0.000000000     0.000000000
    56     6.169090449    -5.504808610      0.000000000     0.000000000
    57     8.268517737    -5.419825847      0.000000000     0.000000000
    58    10.421263632    -5.317704523      0.000000000     0.000000000
    59    12.651058300    -5.200970786      0.000000000     0.000000000
    60    14.994335265    -5.075221706      0.000000000     0.000000000
    61    17.513930651    -4.953563218      0.000000000     0.000000000
    62    20.348960477    -4.869700249      0.000000000     0.000000000
    63    23.771696024    -4.843334410      0.000000000     0.000000000
    64   -35.154742666   -10.131193588      0.000000000     0.000000000
    65   -30.365938697    -9.999387392      0.000000000     0.000000000
    66   -26.169111372    -9.920814731      0.000000000     0.000000000
    67   -22.381565927    -9.903793983      0.000000000     0.000000000
    68   -18.858324227    -9.926639401      0.000000000     0.000000000
    69   -15.509364540    -9.965328880      0.000000000     0.000000000
    70   -12.280205853   -10.004837484      0.000000000     0.000000000
    71    -9.134340216   -10.036038099      0.000000000     0.000000000
    72    -6.045180443   -10.053355109      0.000000000     0.000000000
