 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     0.001427105    -0.000370281      0.000000000     0.000000000
     3     0.002849400    -0.000739978      0.000000000     0.000000000
     4     0.004266893    -0.001109091      0.000000000     0.000000000
     5     0.005679592    -0.001477621      0.000000000     0.000000000
     6     0.007087503    -0.001845569      0.000000000     0.000000000
     7     0.008490635    -0.002212936      0.000000000     0.000000000
     8     0.009888994    -0.002579722      0.000000000     0.000000000
     9     0.011282590    -0.002945928      0.000000000     0.000000000
    10     0.012671428    -0.003311555      0.000000000     0.000000000
    11     0.014055517    -0.003676603      0.000000000     0.000000000
    12     0.015434864    -0.004041074      0.000000000     0.000000000
    13     0.016809477    -0.004404967      0.000000000     0.000000000
    14     0.018179363    -0.004768284      0.000000000     0.000000000
    15     0.019544529    -0.005131026      0.000000000     0.000000000
    16     0.020904984    -0.005493192      0.000000000     0.000000000
    17     0.022260734    -0.005854784      0.000000000     0.000000000
    18     0.023611787    -0.006215802      0.000000000     0.000000000
    19     0.024958151    -0.006576248      0.000000000     0.000000000
    20     0.026299833    -0.006936121      0.000000000     0.000000000
    21     0.027636840    -0.007295423      0.000000000     0.000000000
    22     0.028969180    -0.007654154      0.000000000     0.000000000
    23     0.030296860    -0.008012315      0.000000000     0.000000000
    24     0.031619887    -0.008369907      0.000000000     0.000000000
    25     0.032938270    -0.008726930      0.000000000     0.000000000
    26     0.034252015    -0.009083385      0.000000000     0.000000000
    27     0.035561130    -0.009439273      0.000000000     0.000000000
    28     0.036865622    -0.009794594      0.000000000     0.000000000
    29     0.038165498    -0.010149349      0.000000000     0.000000000
    30     0.039460767    -0.010503539      0.000000000     0.000000000
    31     0.040751434    -0.010857164      0.000000000     0.000000000
    32     0.042037508    -0.011210226      0.000000000     0.000000000
    33     0.043318996    -0.011562725      0.000000000     0.000000000
    34     0.044595905    -0.011914661      0.000000000     0.000000000
    35     0.045868243    -0.012266035      0.000000000     0.000000000
    36     0.047136016    -0.012616848      0.000000000     0.000000000
    37     0.048399233    -0.012967101      0.000000000     0.000000000
    38     0.049657900    -0.013316794      0.000000000     0.000000000
    39     0.050912024    -0.013665928      0.000000000     0.000000000
    40     0.052161614    -0.014014504      0.000000000     0.000000000
    41     0.053406675    -0.014362522      0.000000000     0.000000000
    42     0.054647216    -0.014709983      0.000000000     0.000000000
    43     0.055883244    -0.015056888      0.000000000     0.000000000
    44     0.057114765    -0.015403237      0.000000000     0.000000000
    45     0.058341788    -0.015749031      0.000000000     0.000000000
    46     0.059564318    -0.016094271      0.000000000     0.000000000
    47     0.060782365    -0.016438957      0.000000000     0.000000000
    48     0.061995933    -0.016783091      0.000000000     0.000000000
    49     0.063205032    -0.017126672      0.000000000     0.000000000
    50     0.064409668    -0.017469701      0.000000000     0.000000000
    51     0.065609848    -0.017812180      0.000000000     0.000000000
    52     0.066805580    -0.018154108      0.000000000     0.000000000
    53     0.067996869    -0.018495486      0.000000000     0.000000000
    54     0.069183725    -0.018836316      0.000000000     0.000000000
    55     0.070366153    -0.019176598      0.000000000     0.000000000
    56     0.071544162    -0.019516331      0.000000000     0.000000000
    57     0.072717757    -0.019855518      0.000000000     0.000000000
    58     0.073886946    -0.020194159      0.000000000     0.000000000
    59     0.075051737    -0.020532254      0.000000000     0.000000000
    60     0.076212136    -0.020869804      0.000000000     0.000000000
    61     0.077368150    -0.021206810      0.000000000     0.000000000
    62     0.078519787    -0.021543272      0.000000000     0.000000000
    63     0.079667053    -0.021879191      0.000000000     0.000000000
    64     0.080809956    -0.022214568      0.000000000     0.000000000
    65     0.081948503    -0.022549403      0.000000000     0.000000000
    66     0.083082700    -0.022883697      0.000000000     0.000000000
    67     0.084212555    -0.023217450      0.000000000     0.000000000
    68     0.085338075    -0.023550664      0.000000000     0.000000000
    69     0.086459266    -0.023883339      0.000000000     0.000000000
    70     0.087576136    -0.024215476      0.000000000     0.000000000
    71     0.088688692    -0.024547074      0.000000000     0.000000000
    72     0.089796940    -0.024878136      0.000000000     0.000000000
    73     0.090900889    -0.025208661      0.000000000     0.000000000
    74     0.092000544    -0.025538650      0.000000000     0.000000000
    75     0.093095912    -0.025868104      0.000000000     0.000000000
    76     0.094187001    -0.026197023      0.000000000     0.000000000
    77     0.095273818    -0.026525409      0.000000000     0.000000000
    78     0.096356369    -0.026853261      0.000000000     0.000000000
    79     0.097434661    -0.027180581      0.000000000     0.000000000
    80     0.098508702    -0.027507368      0.000000000     0.000000000
    81     0.099578498    -0.027833625      0.000000000     0.000000000
    82     0.100644056    -0.028159350      0.000000000     0.000000000
    83     0.101705384    -0.028484545      0.000000000     0.000000000
    84     0.102762487    -0.028809211      0.000000000     0.000000000
    85     0.103815372    -0.029133349      0.000000000     0.000000000
    86     0.104864048    -0.029456958      0.000000000     0.000000000
    87     0.105908520    -0.029780039      0.000000000     0.000000000
    88     0.106948795    -0.030102593      0.000000000     0.000000000
    89     0.107984881    -0.030424622      0.000000000     0.000000000
    90     0.109016784    -0.030746124      0.000000000     0.000000000
    91     0.110044510    -0.031067102      0.000000000     0.000000000
    92     0.111068068    -0.031387555      0.000000000     0.000000000
    93     0.112087462    -0.031707484      0.000000000     0.000000000
    94     0.113102701    -0.032026890      0.000000000     0.000000000
    95     0.114113792    -0.032345773      0.000000000     0.000000000
    96     0.115120740    -0.032664135      0.000000000     0.000000000
    97     0.116123553    -0.032981975      0.000000000     0.000000000
    98     0.117122237    -0.033299295      0.000000000     0.000000000
    99     0.118116800    -0.033616094      0.000000000     0.000000000
   100     0.119107247    -0.033932374      0.000000000     0.000000000
   101     0.120093586    -0.034248136      0.000000000     0.000000000
   102     0.121075824    -0.034563379      0.000000000     0.000000000
   103     0.122053967    -0.034878104      0.000000000     0.000000000
   104     0.123028022    -0.035192313      0.000000000     0.000000000
   105     0.123997996    -0.035506005      0.000000000     0.000000000
   106     0.124963895    -0.035819181      0.000000000     0.000000000
   107     0.125925726    -0.036131842      0.000000000     0.000000000
   108     0.126883495    -0.036443989      0.000000000     0.000000000
   109     0.127837211    -0.036755621      0.000000000     0.000000000
   110     0.128786878    -0.037066741      0.000000000     0.000000000
   111     0.129732504    -0.037377347      0.000000000     0.000000000
   112     0.130674095    -0.037687442      0.000000000     0.000000000
   113     0.131611659    -0.037997025      0.000000000     0.000000000
   114     0.132545201    -0.038306097      0.000000000     0.000000000
   115     0.133474729    -0.038614659      0.000000000     0.000000000
   116     0.134400249    -0.038922711      0.000000000     0.000000000
   117     0.135321767    -0.039230254      0.000000000     0.000000000
   118     0.136239291    -0.039537288      0.000000000     0.000000000
   119     0.137152827    -0.039843815      0.000000000     0.000000000
   120     0.138062381    -0.040149834      0.000000000     0.000000000
   121     0.138967960    -0.040455347      0.000000000     0.000000000
   122     0.139869570    -0.040760353      0.000000000     0.000000000
   123     0.140767219    -0.041064854      0.000000000     0.000000000
   124     0.141660913    -0.041368850      0.000000000     0.000000000
   125     0.142550658    -0.041672342      0.000000000     0.000000000
   126     0.143436461    -0.041975330      0.000000000     0.000000000
   127     0.144318328    -0.042277815      0.000000000     0.000000000
   128     0.145196267    -0.042579797      0.000000000     0.000000000
   129     0.146070282    -0.042881277      0.000000000     0.000000000
   130     0.146940382    -0.043182256      0.000000000     0.000000000
   131     0.147806572    -0.043482734      0.000000000     0.000000000
   132     0.148668860    -0.043782712      0.000000000     0.000000000
   133     0.149527251    -0.044082190      0.000000000     0.000000000
   134     0.150381752    -0.044381170      0.000000000     0.000000000
   135     0.151232369    -0.044679650      0.000000000     0.000000000
   136     0.152079110    -0.044977633      0.000000000     0.000000000
   137     0.152921980    -0.045275119      0.000000000     0.000000000
   138     0.153760986    -0.045572108      0.000000000     0.000000000
   139     0.154596134    -0.045868601      0.000000000     0.000000000
   140     0.155427431    -0.046164598      0.000000000     0.000000000
   141     0.156254883    -0.046460100      0.000000000     0.000000000
   142     0.157078497    -0.046755108      0.000000000     0.000000000
   143     0.157898279    -0.047049622      0.000000000     0.000000000
   144     0.158714236    -0.047343642      0.000000000     0.000000000
