 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     4.078157038     1.623471647      0.000000000     0.000000000
     3     4.054927188     1.619519531      0.000000000     0.000000000
     4     0.032815462    -0.005337890      0.000000000     0.000000000
     5     4.031939870     1.615659982      0.000000000     0.000000000
     6     0.064996985    -0.010668987      0.000000000     0.000000000
     7     4.009189531     1.611891306      0.000000000     0.000000000
     8     0.096553893    -0.015993216      0.000000000     0.000000000
     9     3.986670723     1.608211839      0.000000000     0.000000000
    10     0.127495363    -0.021310498      0.000000000     0.000000000
    11     3.964378101     1.604619945      0.000000000     0.000000000
    12     0.157830420    -0.026620751      0.000000000     0.000000000
    13     3.942306418     1.601114014      0.000000000     0.000000000
    14     0.187567944    -0.031923892      0.000000000     0.000000000
    15     3.920450526     1.597692465      0.000000000     0.000000000
    16     0.216716672    -0.037219833      0.000000000     0.000000000
    17     3.898805374     1.594353745      0.000000000     0.000000000
    18     0.245285199    -0.042508486      0.000000000     0.000000000
    19     3.877366007     1.591096324      0.000000000     0.000000000
    20     0.273281982    -0.047789758      0.000000000     0.000000000
    21     3.856127561     1.587918701      0.000000000     0.000000000
    22     0.300715342    -0.053063555      0.000000000     0.000000000
    23     3.835085266     1.584819398      0.000000000     0.000000000
    24     0.327593464    -0.058329780      0.000000000     0.000000000
    25     3.814234439     1.581796965      0.000000000     0.000000000
    26     0.353924403    -0.063588335      0.000000000     0.000000000
    27     3.793570489     1.578849973      0.000000000     0.000000000
    28     0.379716085    -0.068839118      0.000000000     0.000000000
    29     3.773088910     1.575977021      0.000000000     0.000000000
    30     0.404976307    -0.074082026      0.000000000     0.000000000
    31     3.752785282     1.573176727      0.000000000     0.000000000
    32     0.429712743    -0.079316953      0.000000000     0.000000000
    33     3.732655270     1.570447737      0.000000000     0.000000000
    34     0.453932942    -0.084543791      0.000000000     0.000000000
    35     3.712694619     1.567788718      0.000000000     0.000000000
    36     0.477644334    -0.089762432      0.000000000     0.000000000
    37     3.692899157     1.565198359      0.000000000     0.000000000
    38     0.500854229    -0.094972764      0.000000000     0.000000000
    39     3.673264792     1.562675372      0.000000000     0.000000000
    40     0.523569820    -0.100174674      0.000000000     0.000000000
    41     3.653787509     1.560218491      0.000000000     0.000000000
    42     0.545798188    -0.105368046      0.000000000     0.000000000
    43     3.634463371     1.557826470      0.000000000     0.000000000
    44     0.567546297    -0.110552764      0.000000000     0.000000000
    45     3.615288517     1.555498085      0.000000000     0.000000000
    46     0.588821004    -0.115728710      0.000000000     0.000000000
    47     3.596259158     1.553232134      0.000000000     0.000000000
    48     0.609629055    -0.120895763      0.000000000     0.000000000
    49     3.577371581     1.551027433      0.000000000     0.000000000
    50     0.629977090    -0.126053803      0.000000000     0.000000000
    51     3.558622142     1.548882820      0.000000000     0.000000000
    52     0.649871642    -0.131202705      0.000000000     0.000000000
    53     3.540007269     1.546797151      0.000000000     0.000000000
    54     0.669319143    -0.136342347      0.000000000     0.000000000
    55     3.521523461     1.544769302      0.000000000     0.000000000
    56     0.688325921    -0.141472601      0.000000000     0.000000000
    57     3.503167280     1.542798169      0.000000000     0.000000000
    58     0.706898206    -0.146593340      0.000000000     0.000000000
    59     3.484935361     1.540882665      0.000000000     0.000000000
    60     0.725042128    -0.151704436      0.000000000     0.000000000
    61     3.466824400     1.539021721      0.000000000     0.000000000
    62     0.742763723    -0.156805760      0.000000000     0.000000000
    63     3.448831160     1.537214289      0.000000000     0.000000000
    64     0.760068930    -0.161897181      0.000000000     0.000000000
    65     3.430952466     1.535459336      0.000000000     0.000000000
    66     0.776963595    -0.166978565      0.000000000     0.000000000
    67     3.413185207     1.533755847      0.000000000     0.000000000
    68     0.793453472    -0.172049781      0.000000000     0.000000000
    69     3.395526332     1.532102825      0.000000000     0.000000000
    70     0.809544226    -0.177110694      0.000000000     0.000000000
    71     3.377972850     1.530499289      0.000000000     0.000000000
    72     0.825241434    -0.182161169      0.000000000     0.000000000
    73     3.360521831     1.528944274      0.000000000     0.000000000
    74     0.840550583    -0.187201070      0.000000000     0.000000000
    75     3.343170400     1.527436832      0.000000000     0.000000000
    76     0.855477078    -0.192230259      0.000000000     0.000000000
    77     3.325915743     1.525976032      0.000000000     0.000000000
    78     0.870026237    -0.197248599      0.000000000     0.000000000
    79     3.308755098     1.524560958      0.000000000     0.000000000
    80     0.884203298    -0.202255951      0.000000000     0.000000000
    81     3.291685762     1.523190708      0.000000000     0.000000000
    82     0.898013415    -0.207252176      0.000000000     0.000000000
    83     3.274705083     1.521864397      0.000000000     0.000000000
    84     0.911461664    -0.212237133      0.000000000     0.000000000
    85     3.257810464     1.520581153      0.000000000     0.000000000
    86     0.924553042    -0.217210680      0.000000000     0.000000000
    87     3.240999360     1.519340122      0.000000000     0.000000000
    88     0.937292469    -0.222172678      0.000000000     0.000000000
    89     3.224269276     1.518140461      0.000000000     0.000000000
    90     0.949684788    -0.227122982      0.000000000     0.000000000
    91     3.207617770     1.516981343      0.000000000     0.000000000
    92     0.961734770    -0.232061451      0.000000000     0.000000000
    93     3.191042448     1.515861955      0.000000000     0.000000000
    94     0.973447111    -0.236987940      0.000000000     0.000000000
    95     3.174540965     1.514781496      0.000000000     0.000000000
    96     0.984826434    -0.241902306      0.000000000     0.000000000
    97     3.158111023     1.513739180      0.000000000     0.000000000
    98     0.995877293    -0.246804405      0.000000000     0.000000000
    99     3.141750373     1.512734235      0.000000000     0.000000000
   100     1.006604173    -0.251694090      0.000000000     0.000000000
   101     3.125456811     1.511765899      0.000000000     0.000000000
   102     1.017011488    -0.256571218      0.000000000     0.000000000
   103     3.109228178     1.510833426      0.000000000     0.000000000
   104     1.027103586    -0.261435642      0.000000000     0.000000000
   105     3.093062360     1.509936082      0.000000000     0.000000000
   106     1.036884751    -0.266287215      0.000000000     0.000000000
   107     3.076957288     1.509073142      0.000000000     0.000000000
   108     1.046359198    -0.271125792      0.000000000     0.000000000
