 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     0.000000000     0.000000000      0.000000000     0.000000000
     3     0.000000000     0.000000000      0.000000000     0.000000000
     4     0.000000000     0.000000000      0.000000000     0.000000000
     5     0.000000000     0.000000000      0.000000000     0.000000000
     6     0.000000000     0.000000000      0.000000000     0.000000000
     7     0.000000000     0.000000000      0.000000000     0.000000000
     8     0.000000000     0.000000000      0.000000000     0.000000000
     9     0.000000000     0.000000000      0.000000000     0.000000000
    10     0.000000000     0.000000000      0.000000000     0.000000000
    11     0.000000000     0.000000000      0.000000000     0.000000000
    12     0.000000000     0.000000000      0.000000000     0.000000000
    13     0.000000000     0.000000000      0.000000000     0.000000000
    14     0.000000000     0.000000000      0.000000000     0.000000000
    15     0.000000000     0.000000000      0.000000000     0.000000000
    16     0.000000000     0.000000000      0.000000000     0.000000000
    17     0.000000000     0.000000000      0.000000000     0.000000000
    18     0.000000000     0.000000000      0.000000000     0.000000000
    19     0.000000000     0.000000000      0.000000000     0.000000000
    20     0.000000000     0.000000000      0.000000000     0.000000000
    21     0.000000000     0.000000000      0.000000000     0.000000000
    22    -4.683018416    -2.962969108      0.000000000     0.000000000
    23    -3.209369450    -1.821998467      0.000000000     0.000000000
    24    -2.649727623    -1.301976248      0.000000000     0.000000000
    25    -2.215902940    -0.995396159      0.000000000     0.000000000
    26    -1.847442238    -0.789784865      0.000000000     0.000000000
    27    -1.510004404    -0.644807934      0.000000000     0.000000000
    28    -1.191179428    -0.540617644      0.000000000     0.000000000
    29    -0.884026788    -0.466460490      0.000000000     0.000000000
    30    -0.584344457    -0.416038109      0.000000000     0.000000000
    31    -0.289165342    -0.385650067      0.000000000     0.000000000
    32     0.003861329    -0.373311809      0.000000000     0.000000000
    33     0.296826191    -0.378354734      0.000000000     0.000000000
    34     0.591808668    -0.401304590      0.000000000     0.000000000
    35     0.891122179    -0.443986932      0.000000000     0.000000000
    36     1.197656656    -0.509905227      0.000000000     0.000000000
    37     1.515466027    -0.605084991      0.000000000     0.000000000
    38     1.851187961    -0.739854800      0.000000000     0.000000000
    39     2.216612773    -0.933284299      0.000000000     0.000000000
    40     2.644196879    -1.224060425      0.000000000     0.000000000
    41     3.190796900    -1.719533963      0.000000000     0.000000000
    42     4.599356624    -2.806582425      0.000000000     0.000000000
    43    -8.460959648    -4.980537963      0.000000000     0.000000000
    44    -6.698935180    -3.934599854      0.000000000     0.000000000
    45    -5.472595292    -3.077001984      0.000000000     0.000000000
    46    -4.568370466    -2.500543111      0.000000000     0.000000000
    47    -3.794581830    -2.096224563      0.000000000     0.000000000
    48    -3.093882490    -1.804911370      0.000000000     0.000000000
    49    -2.436395210    -1.593239276      0.000000000     0.000000000
    50    -1.806318961    -1.441609198      0.000000000     0.000000000
    51    -1.193723216    -1.338153327      0.000000000     0.000000000
    52    -0.591648534    -1.275755543      0.000000000     0.000000000
    53     0.005397668    -1.250559399      0.000000000     0.000000000
    54     0.602277711    -1.261255884      0.000000000     0.000000000
    55     1.203827509    -1.308862551      0.000000000     0.000000000
    56     1.815451907    -1.396910373      0.000000000     0.000000000
    57     2.443931281    -1.532110686      0.000000000     0.000000000
    58     3.098853490    -1.725772635      0.000000000     0.000000000
    59     3.795357445    -1.996640357      0.000000000     0.000000000
    60     4.561875043    -2.376629893      0.000000000     0.000000000
    61     5.452709622    -2.922208900      0.000000000     0.000000000
    62     6.648715438    -3.737108661      0.000000000     0.000000000
    63     8.349381958    -4.734358595      0.000000000     0.000000000
    64   -11.976261281    -7.036499569      0.000000000     0.000000000
    65   -10.009492000    -5.996105097      0.000000000     0.000000000
    66    -8.367219871    -5.091899956      0.000000000     0.000000000
    67    -7.001794517    -4.368611804      0.000000000     0.000000000
    68    -5.816630420    -3.821686509      0.000000000     0.000000000
    69    -4.738504212    -3.410862102      0.000000000     0.000000000
    70    -3.728576612    -3.105103846      0.000000000     0.000000000
    71    -2.762954326    -2.882856266      0.000000000     0.000000000
    72    -1.826022591    -2.729869939      0.000000000     0.000000000
